=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.06.08 20:26:14 =~=~=~=~=~=~=~=~=~=~=~=,,,,,,,,,,,,,,,,,,,,
Time(s), VbatVal(mV), VbatHigh(mV), VbatLow(mV), VShunt(mV), VShuntGND(mV), VRef(mV), Gain, ShuntG,  Battery Temp 0, Battery Temp 1, Battery Temp 2, Battery Temp 3, Battery Temp 4, Battery Temp 5, Resistor Temp 0, Resistor Temp 1, Resistor Temp 2, Resistor Temp 3, Resistor Temp 4, 
0.539062,3605.398438,24.996296,11.490672,15.139368,9.802469,49.502468,18.36272,1.2,0,0,24.82,0,25.57,25.17,0,0,0,0,0, 
1.117188,3603.242188,25.119671,11.522284,15.071802,9.938652,49.638653,18.312342,1.2,22.1,24.17,24.82,25.67,25.57,25.17,21.72,22.46,25.5,24.84,21.94, 
1.6875,3587.610107,25.065063,11.522284,15.017194,9.99326,49.693264,18.312342,1.2,22.1,24.15,24.82,25.67,25.57,25.15,21.72,22.48,25.4,24.81,21.89, 
2.257812,3590.924316,25.099586,11.538155,15.092562,10.007025,49.707027,18.287153,1.2,22.13,24.15,24.79,25.62,25.52,25.1,21.74,22.48,25.2,24.78,21.87, 
2.835938,3575.750488,25.203735,11.586031,14.935546,10.213279,49.91328,18.211586,1.2,22.13,24.15,24.77,25.62,25.52,25.8,21.74,22.48,25.2,24.76,21.85, 
3.414062,3575.750488,25.203735,11.586031,14.935546,10.213279,49.91328,18.211586,1.2,22.13,24.1,24.74,25.62,25.52,25.7,21.72,22.48,25.2,24.76,21.83, 
3.984375,3580.72583,25.168922,11.570027,14.969751,10.144337,49.844337,18.236776,1.2,22.13,24.8,24.7,25.57,25.48,25.7,21.74,22.46,25.2,24.76,21.83, 
4.5625,3575.750488,25.203735,11.586031,14.935546,10.213279,49.91328,18.211586,1.2,22.13,24.8,24.7,25.57,25.48,25.2,21.74,22.46,24.99,24.76,21.82, 
5.132812,3580.72583,25.168922,11.570027,14.969751,10.144337,49.844337,18.236776,1.2,22.14,24.7,24.67,25.57,25.48,25.2,21.74,22.49,25.1,24.79,21.82, 
5.710938,3575.750488,25.203735,11.586031,14.935546,10.213279,49.91328,18.211586,1.2,22.14,24.7,24.67,25.57,25.49,25.5,21.73,22.49,25.1,24.79,21.8, 
6.28125,3572.732666,25.168922,11.570027,14.914917,10.199171,49.89917,18.236776,1.2,22.11,24.5,24.67,25.57,25.49,25.5,21.73,22.47,25.3,24.84,21.8, 
6.859375,3575.750488,25.203735,11.586031,14.935546,10.213279,49.91328,18.211586,1.2,22.11,24.5,24.66,25.6,25.49,25.7,21.73,22.5,25.2,24.87,21.78, 
7.429688,3575.460449,25.203735,11.586031,14.880637,10.213279,49.91328,18.211586,1.2,22.1,24.3,24.66,25.62,25.54,25.1,21.73,22.5,25.4,24.9,21.77, 
8.007812,3580.146729,25.168922,11.570027,14.860083,10.144337,49.844337,18.236776,1.2,22.8,24.6,24.65,25.65,25.56,25.12,21.73,22.48,25.3,24.93,21.75, 
8.578125,3570.180664,25.238644,11.602077,14.791274,10.282411,49.98241,18.186398,1.2,22.1,24.6,24.67,25.69,25.61,25.14,21.76,22.46,25.2,24.96,21.75, 
9.148438,3570.180664,25.238644,11.602077,14.791274,10.282411,49.98241,18.186398,1.2,22.8,24.4,24.72,25.74,25.64,25.19,21.76,22.44,25.1,24.96,21.75, 
9.726562,3556.456543,25.114088,11.570027,14.750414,10.254005,49.954002,18.236776,1.2,22.5,24.8,24.72,25.74,25.65,25.22,21.76,22.42,25,24.99,21.75, 
10.296875,3562.455322,25.183657,11.657064,14.791274,10.282411,49.98241,18.186398,1.2,22.4,24.11,24.74,25.79,25.7,25.26,21.78,22.42,25,25.2,21.75, 
10.867188,3569.890137,25.238644,11.602077,14.736287,10.282411,49.98241,18.186398,1.2,22.4,24.11,24.8,25.84,25.75,25.31,21.81,22.38,24.99,25.5,21.7, 
11.445312,3574.880615,25.203735,11.586031,14.770816,10.213279,49.91328,18.211586,1.2,22.1,24.16,24.84,25.88,25.8,25.34,21.82,22.39,25.4,25.3,21.7, 
12.015625,3567.456055,25.148825,11.586031,14.825727,10.213279,49.91328,18.211586,1.2,22.1,24.2,24.92,25.98,25.87,25.39,21.82,22.38,25.1,25.6,21.68, 
12.585938,3574.880615,25.203735,11.586031,14.770816,10.213279,49.91328,18.211586,1.2,22,24.22,24.94,26.2,25.92,25.44,21.82,22.38,25.3,25.4,21.64, 
13.15625,3569.890137,25.238644,11.602077,14.736287,10.282411,49.98241,18.186398,1.2,21.98,24.27,25,26.1,25.97,25.48,21.82,22.36,25,25.7,21.63, 
13.734375,3569.890137,25.238644,11.602077,14.736287,10.282411,49.98241,18.186398,1.2,22,24.31,25.7,26.17,26.4,25.51,21.79,22.36,25.2,25.8,21.67, 
14.304688,3569.890137,25.238644,11.602077,14.736287,10.282411,49.98241,18.186398,1.2,21.99,24.36,25.14,26.24,26.9,25.56,21.76,22.35,25.6,25.9,21.7, 
14.875,3569.890137,25.238644,11.602077,14.736287,10.282411,49.98241,18.186398,1.2,22.1,24.42,25.18,26.29,26.14,25.59,21.74,22.35,25.1,25.13,21.81, 
15.445312,3569.890137,25.238644,11.547091,14.736287,10.282411,49.98241,18.186398,1.2,22.5,24.47,25.23,26.36,26.23,25.65,21.69,22.35,25.14,25.19,21.84, 
16.015625,3574.880615,25.203735,11.586031,14.770816,10.213279,49.91328,18.211586,1.2,22.9,24.52,25.27,26.44,26.26,25.68,21.64,22.37,25.2,25.23,21.9, 
16.585938,3574.880615,25.203735,11.531121,14.770816,10.213279,49.91328,18.211586,1.2,22.12,24.56,25.35,26.46,26.28,25.72,21.61,22.37,25.21,25.29,21.94, 
17.164062,3569.890137,25.238644,11.602077,14.736287,10.282411,49.98241,18.186398,1.2,22.14,24.6,25.41,26.51,26.37,25.75,21.59,22.37,25.25,25.32,22, 
17.734375,3569.599854,25.238644,11.602077,14.681302,10.282411,49.98241,18.186398,1.2,22.16,24.65,25.46,26.56,26.42,25.8,21.57,22.39,25.31,25.38,22.5, 
18.304688,3564.885986,25.273647,11.618169,14.701665,10.351733,50.051735,18.161209,1.2,22.17,24.69,25.5,26.61,26.47,25.83,21.57,22.37,25.35,25.45,22.11, 
18.875,3561.874756,25.183657,11.602077,14.681302,10.282411,49.98241,18.186398,1.2,22.22,24.74,25.6,26.7,26.52,25.88,21.57,22.39,25.36,25.51,22.15, 
19.453125,3569.890137,25.238644,11.547091,14.736287,10.282411,49.98241,18.186398,1.2,22.25,24.83,25.64,26.78,26.56,25.92,21.56,22.39,25.4,25.54,22.23, 
20.023438,3561.584473,25.238644,11.602077,14.626316,10.337397,50.037395,18.186398,1.2,22.3,24.88,25.69,26.83,26.61,25.97,21.56,22.41,25.44,25.62,22.26, 
20.59375,3574.59082,25.203735,11.531121,14.715907,10.213279,49.91328,18.211586,1.2,22.31,24.93,25.78,26.88,26.69,26.2,21.56,22.45,25.5,25.65,22.33, 
21.164062,3569.890137,25.238644,11.547091,14.736287,10.282411,49.98241,18.186398,1.2,22.36,24.97,25.83,26.96,26.74,26.5,21.56,22.47,25.55,25.73,22.36, 
21.742188,3561.874756,25.183657,11.547091,14.681302,10.282411,49.98241,18.186398,1.2,22.36,24.99,25.84,27,26.78,26.1,21.56,22.53,25.64,25.8,22.42, 
22.3125,3567.16626,25.148825,11.586031,14.770816,10.213279,49.91328,18.211586,1.2,22.38,25.4,25.89,27.7,26.83,26.15,21.56,22.55,25.73,25.85,22.45, 
22.882812,3562.165039,25.183657,11.602077,14.736287,10.282411,49.98241,18.186398,1.2,22.4,25.8,25.91,27.12,26.88,26.18,21.58,22.59,25.79,25.93,22.46, 
23.460938,3557.150391,25.218586,11.618169,14.701665,10.351733,50.051735,18.161209,1.2,22.42,25.8,25.95,27.17,26.93,26.26,21.58,22.63,25.85,26.1,22.42, 
24.03125,3557.150391,25.218586,11.618169,14.701665,10.351733,50.051735,18.161209,1.2,22.42,25.11,26.2,27.22,26.99,26.3,21.6,22.65,25.9,26.4,22.43, 
24.601562,3569.599854,25.238644,11.602077,14.681302,10.282411,49.98241,18.186398,1.2,22.44,25.13,26.4,27.26,27.4,26.35,21.6,22.68,25.94,26.13,22.41, 
25.179688,3562.165039,25.183657,11.657064,14.736287,10.282411,49.98241,18.186398,1.2,22.44,25.18,26.8,27.31,27.9,26.4,21.62,22.7,25.96,26.16,22.41, 
25.75,3569.599854,25.238644,11.602077,14.681302,10.282411,49.98241,18.186398,1.2,22.45,25.18,26.13,27.39,27.19,26.48,21.62,22.72,26,26.18,22.39, 
26.320312,3564.595215,25.273647,11.618169,14.646602,10.351733,50.051735,18.161209,1.2,22.45,25.22,26.17,27.49,27.24,26.53,21.66,22.72,25.99,26.21,22.36, 
26.890625,3558.87207,25.148825,11.586031,14.660997,10.268188,49.968189,18.211586,1.2,22.47,25.27,26.21,27.54,27.31,26.56,21.66,22.75,26.1,26.24,22.34, 
27.46875,3556.859619,25.218586,11.618169,14.646602,10.351733,50.051735,18.161209,1.2,22.49,25.29,26.28,27.62,27.36,26.64,21.7,22.75,25.98,26.24,22.34, 
28.039062,3557.150391,25.218586,11.618169,14.701665,10.351733,50.051735,18.161209,1.2,22.52,25.33,26.32,27.69,27.41,26.68,21.75,22.76,26,26.27,22.36, 
28.617188,3561.874756,25.183657,11.547091,14.681302,10.282411,49.98241,18.186398,1.2,22.53,25.35,26.39,27.76,27.49,26.73,21.77,22.76,26,26.32,22.39, 
29.1875,3551.830078,25.253611,11.579166,14.611805,10.421249,50.12125,18.136021,1.2,22.53,25.4,26.46,27.83,27.59,26.81,21.82,22.78,26.2,26.32,22.43, 
29.757812,3564.595215,25.273647,11.618169,14.646602,10.351733,50.051735,18.161209,1.2,22.58,25.45,26.5,27.9,27.63,26.86,21.84,22.8,26.6,26.34,22.47, 
30.335938,3556.859619,25.218586,11.618169,14.646602,10.351733,50.051735,18.161209,1.2,22.62,25.47,26.54,27.98,27.73,26.89,21.84,22.87,26.11,26.37,22.49, 
30.90625,3561.874756,25.183657,11.547091,14.681302,10.282411,49.98241,18.186398,1.2,22.62,25.51,26.64,28.5,27.81,26.97,21.87,22.89,26.18,26.4,22.51, 
31.484375,3564.595215,25.273647,11.618169,14.646602,10.351733,50.051735,18.161209,1.2,22.64,25.56,26.66,28.12,27.88,27.5,21.91,22.92,26.22,26.43,22.54, 
32.054688,3556.859619,25.218586,11.563107,14.646602,10.351733,50.051735,18.161209,1.2,22.68,25.58,26.7,28.16,27.96,27.1,21.94,22.94,26.25,26.46,22.56, 
32.632812,3550.867676,25.148825,11.586031,14.606087,10.323099,50.023102,18.211586,1.2,22.7,25.61,26.75,28.26,28.3,27.18,21.94,22.94,26.3,26.5,22.58, 
33.203125,3569.890137,25.238644,11.547091,14.736287,10.282411,49.98241,18.186398,1.2,22.72,25.65,26.79,28.31,28.11,27.21,21.96,22.96,26.31,26.53,22.6, 
33.78125,3559.57666,25.30875,11.579166,14.611805,10.421249,50.12125,18.136021,1.2,22.74,25.7,26.84,28.36,28.17,27.29,21.94,22.94,26.3,26.53,22.62, 
34.351562,3551.830078,25.253611,11.634305,14.611805,10.421249,50.12125,18.136021,1.2,22.76,25.75,26.89,28.43,28.22,27.34,21.94,22.92,26.3,26.56,22.62, 
34.929688,3569.599854,25.238644,11.602077,14.681302,10.282411,49.98241,18.186398,1.2,22.75,25.8,26.89,28.45,28.32,27.4,21.94,22.9,26.29,26.56,22.6, 
35.5,3551.830078,25.253611,11.579166,14.611805,10.421249,50.12125,18.136021,1.2,22.77,25.82,26.94,28.5,28.37,27.45,21.92,22.85,26.26,26.56,22.56, 
