=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.06.08 18:27:04 =~=~=~=~=~=~=~=~=~=~=~=,,,,,,,,,,,,,,,,,,,,
Time(s), VbatVal(mV), VbatHigh(mV), VbatLow(mV), VShunt(mV), VShuntGND(mV), VRef(mV), Gain, ShuntG,  Battery Temp 0, Battery Temp 1, Battery Temp 2, Battery Temp 3, Battery Temp 4, Battery Temp 5, Resistor Temp 0, Resistor Temp 1, Resistor Temp 2, Resistor Temp 3, Resistor Temp 4, 
0.539062,3644.932373,24.988283,11.466485,15.306677,9.519346,49.219349,18.488665,1.2,0,0,27.2,0,38.8,192.63,0,0,0,0,0, 
1.109375,3630.719482,25.036526,11.513544,15.260876,9.667032,49.367035,18.413097,1.2,24.98,26.53,27.2,26.94,38.5,192.63,24.92,25.44,27.5,27.24,25.7, 
1.6875,3610.57959,24.962055,11.474932,15.227398,9.734657,49.434658,18.387909,1.2,24.94,26.53,27.2,26.9,38.5,192.63,24.89,25.42,27.5,27.21,25.9, 
2.257812,3610.57959,24.962055,11.474932,15.227398,9.734657,49.434658,18.387909,1.2,24.91,26.53,27.5,26.9,38.1,192.63,24.89,25.42,27.5,27.21,25.11, 
2.835938,3610.29248,24.962055,11.474932,15.173014,9.734657,49.434658,18.387909,1.2,24.91,26.5,27.5,26.88,38.1,192.63,24.89,25.46,27.5,27.19,25.1, 
3.40625,3610.57959,24.962055,11.474932,15.227398,9.734657,49.434658,18.387909,1.2,24.91,26.53,27.4,26.88,37.98,192.63,24.86,25.46,27.5,27.19,25.12, 
3.984375,3605.685791,24.996296,11.490672,15.193827,9.802469,49.502468,18.36272,1.2,24.91,26.53,27.4,26.88,37.98,192.63,24.85,25.46,27.5,27.22,25.14, 
4.554688,3595.858643,25.065063,11.576892,15.126411,9.938652,49.638653,18.312342,1.2,24.9,26.55,27.9,26.88,37.98,192.63,24.85,25.46,27.7,27.2,25.11, 
5.132812,3600.779053,25.030632,11.560988,15.160165,9.870467,49.570465,18.337532,1.2,24.9,26.55,27.12,26.91,37.98,0.1,24.82,25.49,27.7,27.23,25.13, 
5.703125,3595.570312,25.065063,11.522284,15.071802,9.938652,49.638653,18.312342,1.2,24.93,26.59,27.13,26.91,37.98,0.1,24.8,25.49,27.7,27.23,25.1, 
6.28125,3595.858643,25.065063,11.522284,15.126411,9.938652,49.638653,18.312342,1.2,24.93,26.61,27.16,26.94,37.98,192.63,24.77,25.46,27.12,27.25,25.1, 
6.851562,3595.858643,25.065063,11.522284,15.126411,9.938652,49.638653,18.312342,1.2,25,26.61,27.21,26.98,38.1,0.1,24.77,25.48,27.14,27.28,25.1, 
7.421875,3600.490967,25.030632,11.506455,15.105632,9.870467,49.570465,18.337532,1.2,25.3,26.63,27.26,27.1,38.5,192.63,24.74,25.48,27.17,27.31,25.8, 
7.992188,3590.924316,25.099586,11.538155,15.092562,10.007025,49.707027,18.287153,1.2,25.5,26.68,27.31,27.6,38.8,192.63,24.72,25.48,27.22,27.36,25.5, 
8.570312,3595.570312,25.065063,11.522284,15.071802,9.938652,49.638653,18.312342,1.2,25.7,26.69,27.36,27.8,38.8,192.63,24.72,25.5,27.25,27.39,25.5, 
9.140625,3585.168213,24.976099,11.506455,15.105633,9.924999,49.625,18.337532,1.2,25.1,26.71,27.37,27.13,38.11,0.1,24.75,25.52,27.3,27.45,25.5, 
9.710938,3590.635742,25.099586,11.538155,15.03788,10.007025,49.707027,18.287153,1.2,25.1,26.76,27.42,27.16,38.14,0.1,24.75,25.52,27.36,27.51,25.4, 
10.289062,3590.924316,25.099586,11.538155,15.092562,10.007025,49.707027,18.287153,1.2,25.9,26.76,27.45,27.21,38.17,0.1,24.78,25.54,27.4,27.54,25.4, 
10.859375,3587.898193,25.010454,11.522284,15.071802,9.938652,49.638653,18.312342,1.2,25.6,26.78,27.5,27.26,38.2,0.1,24.82,25.54,27.42,27.61,25.2, 
11.429688,3585.976807,25.134207,11.608828,15.05862,10.075586,49.775585,18.261965,1.2,25.4,26.83,27.55,27.29,38.2,0.1,24.88,25.54,27.45,27.64,25, 
12.007812,3598.606934,25.15427,11.592837,15.092562,10.007025,49.707027,18.287153,1.2,25.1,26.84,27.6,27.34,38.23,0.1,24.89,25.55,27.5,27.7,25, 
12.578125,3590.635742,25.099586,11.592837,15.03788,10.007025,49.707027,18.287153,1.2,25,26.86,27.65,27.36,38.27,192.63,24.92,25.55,27.53,27.74,24.98, 
13.15625,3593.380615,25.188965,11.608828,15.003862,10.075586,49.775585,18.261965,1.2,25,26.9,27.73,27.42,38.27,0.1,24.92,25.55,27.55,27.8,24.98, 
13.734375,3588.429688,25.223757,11.679696,14.969751,10.144337,49.844337,18.236776,1.2,25,26.94,27.78,27.47,38.3,0.1,24.93,25.54,27.59,27.83,24.99, 
14.304688,3590.924316,25.099586,11.592837,15.092562,10.007025,49.707027,18.287153,1.2,25.5,26.96,27.84,27.51,38.33,0.1,24.93,25.54,27.6,27.92,24.99, 
14.882812,3590.635742,25.099586,11.592837,15.03788,10.007025,49.707027,18.287153,1.2,25.7,27.1,27.92,27.57,38.36,0.1,24.96,25.58,27.64,27.95,24.99, 
15.453125,3585.6875,25.134207,11.608828,15.003862,10.075586,49.775585,18.261965,1.2,25.7,27.5,27.97,27.66,38.43,0.1,24.98,25.58,27.69,28.2,25.4, 
16.03125,3581.015381,25.168922,11.624862,15.024586,10.144337,49.844337,18.236776,1.2,25.9,27.1,28.4,27.71,38.46,0.1,25.1,25.6,27.75,28.7,25.4, 
16.601562,3580.72583,25.168922,11.624862,14.969751,10.144337,49.844337,18.236776,1.2,25.11,27.11,28.9,27.79,38.5,192.63,25.3,25.65,27.81,28.15,25.12, 
17.179688,3585.6875,25.134207,11.608828,15.003862,10.075586,49.775585,18.261965,1.2,25.13,27.18,28.17,27.86,38.51,0.1,25.3,25.66,27.83,28.19,25.15, 
17.757812,3585.976807,25.134207,11.608828,15.05862,10.075586,49.775585,18.261965,1.2,25.13,27.23,28.22,27.89,38.56,0.1,25.6,25.69,27.87,28.27,25.15, 
18.328125,3576.040283,25.203735,11.640941,14.990457,10.213279,49.91328,18.211586,1.2,25.12,27.27,28.29,27.99,38.59,0.1,25.7,25.67,27.88,28.3,25.13, 
18.90625,3580.72583,25.168922,11.624862,14.969751,10.144337,49.844337,18.236776,1.2,25.14,27.31,28.37,28.2,38.62,0.1,25.7,25.7,27.87,28.34,25.11, 
19.484375,3580.72583,25.168922,11.570027,14.969751,10.144337,49.844337,18.236776,1.2,25.14,27.36,28.43,28.7,38.66,0.1,25.7,25.68,27.86,28.37,25.11, 
20.054688,3580.72583,25.168922,11.624862,14.969751,10.144337,49.844337,18.236776,1.2,25.14,27.38,28.51,28.17,38.71,0.1,25.9,25.67,27.85,28.4,25.9, 
20.632812,3580.72583,25.168922,11.570027,14.969751,10.144337,49.844337,18.236776,1.2,25.18,27.44,28.58,28.22,38.74,0.1,25.9,25.63,27.83,28.44,25.9, 
21.203125,3577.994629,25.134207,11.608828,15.003862,10.130344,49.830345,18.261965,1.2,25.2,27.48,28.69,28.3,38.78,0.1,25.5,25.63,27.81,28.47,25.7, 
21.78125,3581.015381,25.168922,11.624862,15.024586,10.144337,49.844337,18.236776,1.2,25.2,27.57,28.76,28.4,38.84,0.1,25.5,25.61,27.82,28.47,25.3, 
22.359375,3575.750488,25.203735,11.586031,14.935546,10.213279,49.91328,18.211586,1.2,25.22,27.59,28.84,28.45,38.87,0.1,25.5,25.61,27.81,28.48,25.3, 
22.929688,3580.72583,25.168922,11.570027,14.969751,10.144337,49.844337,18.236776,1.2,25.24,27.66,28.91,28.53,38.91,0.1,25.5,25.59,27.78,28.48,25.3, 
23.507812,3570.012451,25.079449,11.554069,14.949104,10.130344,49.830345,18.261965,1.2,25.25,27.7,28.99,28.58,38.97,0.1,25.7,25.59,27.8,28.52,25, 
24.078125,3580.72583,25.168922,11.570027,14.969751,10.144337,49.844337,18.236776,1.2,25.27,27.77,29.9,28.68,39.1,0.1,25.9,25.58,27.79,28.53,25, 
24.65625,3575.750488,25.203735,11.586031,14.935546,10.213279,49.91328,18.211586,1.2,25.26,27.83,29.14,28.73,39.4,0.1,25.9,25.58,27.8,28.53,24.98, 
25.234375,3577.705322,25.134207,11.49931,14.949104,10.130344,49.830345,18.261965,1.2,25.28,27.88,29.19,28.78,39.8,0.1,25.12,25.58,27.77,28.55,24.95, 
25.804688,3580.72583,25.168922,11.570027,14.969751,10.144337,49.844337,18.236776,1.2,25.27,27.93,29.28,28.83,39.11,0.1,25.12,25.54,27.79,28.58,24.93, 
26.382812,3575.750488,25.203735,11.586031,14.935546,10.213279,49.91328,18.211586,1.2,25.29,28,29.34,28.88,39.14,0.1,25.12,25.54,27.78,28.59,24.91, 
26.953125,3575.750488,25.203735,11.586031,14.935546,10.213279,49.91328,18.211586,1.2,25.29,28.2,29.4,28.97,39.17,0.1,25.12,25.54,27.78,28.59,24.88, 
27.53125,3580.72583,25.168922,11.570027,14.969751,10.144337,49.844337,18.236776,1.2,25.28,28.6,29.45,29.2,39.21,0.1,25.12,25.54,27.83,28.61,24.9, 
