The Test Voltage will increment by in 5 mV in the data logger,,,,,,,,,,,
,,,,,,,,,,,
Enter G to start Test:,,,,,,,,,,,
,,,,,,,,,,,
 Voltage(Ideal) (mV), Voltage(Measured) (mV), VirtualGND (mV), VRef (mV), Calculated Gain,Percent Error,,,,,,
10,9.716,23.75,1034,17.6,2.84,,,,,,
10,9.659,23.75,1034,17.6,3.41,,,,,,
15,15.684,21.903,1034,18.171,4.56,,,,,,
15,15.276,21.386,1052,18.657,1.84,,,,,,
15,15.057,23.75,1034,17.6,0.38,,,,,,
15,16.394,20.493,1029,18.543,9.293333333,,,,,,
15,16.224,22.577,1015,17.629,8.16,,,,,,
15,15.869,22.006,1031,18.086,5.793333333,,,,,,
15,15.488,21.992,1034,18.143,3.253333333,,,,,,
15,15.543,21.992,1034,18.143,3.62,,,,,,
15,15.739,21.903,1034,18.171,4.926666667,,,,,,
15,14.731,23.149,1050,18.057,1.793333333,,,,,,
15,15.089,23.655,1034,17.629,0.593333333,,,,,,
15,15.839,22.097,1031,18.057,5.593333333,,,,,,
15,15.574,21.903,1034,18.171,3.826666667,,,,,,
15,15.975,22.187,1031,18.029,6.5,,,,,,
15,15.849,21.903,1034,18.171,5.66,,,,,,
15,15.562,22.097,1031,18.057,3.746666667,,,,,,
15,15.869,22.006,1031,18.086,5.793333333,,,,,,
15,14.959,23.866,1031,17.514,0.273333333,,,,,,
15,15.995,22.237,1027,17.943,6.633333333,,,,,,
15,15.703,22.006,1031,18.086,4.686666667,,,,,,
15,15.617,22.097,1031,18.057,4.113333333,,,,,,
15,16.398,20.43,1031,18.6,9.32,,,,,,
15,15.839,22.097,1031,18.057,5.593333333,,,,,,
15,15.924,22.006,1031,18.086,6.16,,,,,,
15,15.057,23.75,1034,17.6,0.38,,,,,,
15,15.46,21.365,1050,18.629,3.066666667,,,,,,
15,16.171,22.561,1018,17.686,7.806666667,,,,,,
15,15.733,22.082,1034,18.114,4.886666667,,,,,,
15,14.992,23.039,1053,18.143,0.053333333,,,,,,
15,15.537,22.006,1031,18.086,3.58,,,,,,
15,15.598,21.992,1034,18.143,3.986666667,,,,,,
15,15.794,21.903,1034,18.171,5.293333333,,,,,,
15,15.574,21.903,1034,18.171,3.826666667,,,,,,
15,14.225,22.385,1069,18.629,5.166666667,,,,,,
15,15.513,22.082,1034,18.114,3.42,,,,,,
15,15.849,21.903,1034,18.171,5.66,,,,,,
15,15.284,23.75,1034,17.6,1.893333333,,,,,,
15,15.739,21.903,1034,18.171,4.926666667,,,,,,
15,13.903,22.385,1069,18.629,7.313333333,,,,,,
15,16.25,22.67,1015,17.6,8.333333333,,,,,,
15,15.245,23.866,1031,17.514,1.633333333,,,,,,
15,15.869,22.006,1031,18.086,5.793333333,,,,,,
15,15.839,22.097,1031,18.057,5.593333333,,,,,,
15,14.294,25.647,1031,17,4.706666667,,,,,,
15,15.764,21.992,1034,18.143,5.093333333,,,,,,
15,15.924,22.006,1031,18.086,6.16,,,,,,
15,16.29,20.43,1031,18.6,8.6,,,,,,
15,15.617,22.097,1031,18.057,4.113333333,,,,,,
15,15.783,22.097,1031,18.057,5.22,,,,,,
15,14.691,25.518,1034,17.086,2.06,,,,,,
15,16.364,22.67,1015,17.6,9.093333333,,,,,,
15,15.684,21.903,1034,18.171,4.56,,,,,,
15,15.574,21.903,1034,18.171,3.826666667,,,,,,
